# time totalContactTime
1.1000 604.0000
2.1000 1208.0000
3.1000 1788.0000
4.1000 2368.0000
5.2000 3006.0000
6.3000 3613.2000
7.4000 4219.4000
8.5000 4821.1000
9.6000 5422.8000
10.7000 6024.5000
11.8000 6626.2000
12.9000 7227.9000
14.0000 7829.6000
15.1000 8431.3000
16.2000 9033.0000
17.2000 9579.6000
18.2000 10126.3000
19.2000 10673.3000
20.2000 11220.3000
21.2000 11767.3000
22.2000 12314.3000
23.2000 12861.2000
24.2000 13407.2000
25.2000 13953.2000
26.2000 14499.2000
27.2000 15045.2000
28.2000 15591.2000
29.2000 16137.2000
30.2000 16683.2000
31.2000 17229.2000
32.2000 17775.2000
33.2000 18321.2000
34.2000 18867.2000
35.2000 19413.2000
36.2000 19959.2000
37.2000 20505.7000
38.2000 21054.3000
39.2000 21601.1000
40.2000 22145.1000
41.2000 22689.7000
42.2000 23233.8000
43.2000 23778.7000
44.2000 24322.4000
45.2000 24864.5000
46.2000 25406.5000
47.2000 25948.5000
48.2000 26490.5000
49.2000 27032.5000
50.2000 27574.5000
51.2000 28116.4000
52.2000 28657.4000
53.2000 29198.4000
54.2000 29739.6000
55.2000 30281.6000
56.2000 30823.6000
57.2000 31365.6000
58.2000 31907.4000
59.2000 32448.4000
60.2000 32989.8000
61.2000 33534.0000
62.2000 34079.0000
63.2000 34624.0000
64.2000 35168.6000
65.3000 35764.5000
66.4000 36359.6000
67.5000 36954.7000
68.6000 37549.8000
69.7000 38144.9000
70.8000 38740.0000
71.9000 39335.1000
73.0000 39930.2000
74.1000 40525.3000
75.2000 41120.4000
76.3000 41715.5000
77.4000 42310.6000
78.5000 42905.7000
79.6000 43500.8000
80.7000 44095.9000
81.8000 44691.0000
82.9000 45286.1000
84.0000 45881.2000
85.1000 46476.3000
86.2000 47076.4000
87.3000 47677.6000
88.4000 48280.4000
89.5000 48881.2000
90.6000 49478.5000
91.7000 50074.4000
92.8000 50669.5000
93.9000 51264.6000
95.0000 51858.6000
96.1000 52452.6000
97.2000 53046.6000
98.3000 53641.4000
99.4000 54236.5000
100.5000 54831.6000
101.6000 55425.6000
102.7000 56019.6000
103.8000 56613.6000
104.9000 57207.6000
106.0000 57801.6000
107.1000 58395.6000
108.2000 58989.6000
109.3000 59586.1000
110.4000 60185.6000
111.5000 60785.1000
112.6000 61384.1000
113.7000 61989.1000
114.8000 62594.1000
115.9000 63199.1000
117.0000 63804.1000
118.1000 64409.1000
119.2000 65014.1000
120.3000 65619.1000
121.4000 66224.1000
122.5000 66829.1000
123.6000 67434.1000
124.7000 68039.1000
125.8000 68644.1000
126.9000 69249.1000
128.0000 69854.1000
129.1000 70459.1000
130.2000 71064.1000
131.3000 71669.1000
132.4000 72274.1000
133.5000 72879.1000
134.6000 73484.1000
135.7000 74089.1000
136.8000 74694.1000
137.9000 75299.1000
139.0000 75904.1000
140.1000 76509.1000
141.2000 77114.1000
142.3000 77719.1000
143.4000 78324.1000
144.5000 78929.1000
145.6000 79534.1000
146.7000 80139.1000
147.8000 80744.1000
148.9000 81349.1000
150.0000 81954.1000
151.1000 82559.1000
152.2000 83164.1000
153.3000 83769.1000
154.4000 84374.1000
155.5000 84979.1000
156.6000 85584.1000
157.7000 86189.1000
158.8000 86794.1000
159.9000 87399.1000
161.0000 88004.1000
162.1000 88609.1000
163.2000 89214.1000
164.3000 89819.1000
165.4000 90424.1000
166.5000 91029.1000
167.6000 91634.1000
168.7000 92239.1000
169.8000 92844.1000
170.9000 93449.1000
172.0000 94054.1000
173.1000 94659.1000
174.2000 95264.1000
175.3000 95869.1000
176.4000 96474.1000
177.5000 97079.7000
178.6000 97685.8000
179.7000 98291.9000
180.8000 98898.0000
181.9000 99503.1000
183.0000 100108.1000
184.1000 100713.1000
185.2000 101318.1000
186.3000 101923.1000
187.4000 102528.1000
188.5000 103133.1000
189.6000 103738.1000
190.7000 104343.1000
191.8000 104948.1000
192.9000 105553.1000
194.0000 106158.1000
195.1000 106763.1000
196.2000 107368.1000
197.3000 107973.1000
198.4000 108578.1000
199.5000 109183.1000
200.6000 109788.1000
201.7000 110392.2000
202.8000 110992.5000
203.9000 111590.9000
205.0000 112189.3000
206.1000 112787.7000
207.2000 113386.1000
208.3000 113984.5000
209.4000 114582.9000
210.5000 115181.3000
211.6000 115779.7000
212.7000 116378.1000
213.8000 116976.5000
214.9000 117574.9000
216.0000 118173.3000
217.1000 118771.7000
218.2000 119370.1000
219.3000 119968.5000
220.4000 120566.9000
221.5000 121165.3000
222.6000 121764.3000
223.7000 122363.8000
224.8000 122963.3000
225.9000 123562.8000
227.0000 124163.1000
228.1000 124763.7000
229.2000 125364.3000
230.3000 125964.9000
231.4000 126565.5000
232.5000 127166.1000
233.6000 127766.9000
234.7000 128369.5000
235.8000 128972.3000
236.9000 129575.1000
238.0000 130177.9000
239.1000 130780.7000
240.2000 131383.5000
241.3000 131986.3000
242.4000 132589.1000
243.5000 133191.9000
244.6000 133794.7000
245.7000 134397.5000
246.8000 135000.3000
247.9000 135603.1000
249.0000 136205.9000
250.1000 136808.7000
251.2000 137412.5000
252.3000 138017.5000
253.4000 138622.5000
254.5000 139227.5000
255.6000 139830.7000
256.6000 140378.7000
257.6000 140926.7000
258.6000 141474.7000
259.6000 142022.7000
260.6000 142570.7000
261.6000 143118.7000
262.6000 143666.7000
263.6000 144214.7000
264.6000 144762.7000
265.6000 145310.7000
266.6000 145858.7000
267.6000 146406.7000
268.6000 146954.7000
269.6000 147502.7000
270.6000 148050.7000
271.6000 148598.7000
272.6000 149146.7000
273.6000 149694.7000
274.6000 150242.7000
275.6000 150790.7000
276.6000 151338.7000
277.6000 151886.7000
278.6000 152434.7000
279.6000 152982.7000
280.6000 153530.7000
281.6000 154078.7000
282.6000 154626.7000
283.6000 155174.7000
284.6000 155722.7000
285.6000 156270.7000
286.6000 156818.7000
287.6000 157366.7000
288.6000 157914.7000
289.6000 158462.7000
290.6000 159010.7000
291.6000 159558.7000
292.6000 160106.7000
293.6000 160654.7000
294.6000 161202.7000
295.6000 161750.7000
296.6000 162298.7000
297.6000 162846.7000
298.6000 163394.7000
299.6000 163942.7000
300.6000 164490.7000
301.6000 165038.7000
302.6000 165586.7000
303.6000 166134.7000
304.6000 166682.7000
305.6000 167230.7000
306.6000 167778.7000
307.6000 168326.7000
308.6000 168874.7000
309.6000 169422.7000
310.6000 169970.7000
311.6000 170518.7000
312.6000 171066.7000
313.6000 171614.7000
314.6000 172162.7000
315.6000 172710.7000
316.6000 173258.7000
317.6000 173806.7000
318.6000 174354.7000
319.6000 174902.7000
320.6000 175450.7000
321.6000 175998.7000
322.6000 176546.7000
323.6000 177094.7000
324.6000 177642.7000
325.6000 178190.7000
326.6000 178738.7000
327.6000 179286.7000
328.6000 179834.7000
329.6000 180382.7000
330.6000 180930.7000
331.6000 181478.7000
332.6000 182026.7000
333.6000 182574.7000
334.6000 183122.7000
335.6000 183670.7000
336.6000 184218.7000
337.6000 184766.7000
338.6000 185314.7000
339.6000 185862.7000
340.6000 186410.7000
341.6000 186958.7000
342.6000 187506.7000
343.6000 188054.7000
344.6000 188602.7000
345.6000 189150.7000
346.6000 189698.7000
347.6000 190246.7000
348.6000 190794.7000
349.6000 191342.7000
350.6000 191890.7000
351.6000 192438.7000
352.6000 192986.7000
353.6000 193534.7000
354.6000 194082.7000
355.6000 194630.7000
356.6000 195178.7000
357.6000 195726.7000
358.6000 196274.7000
359.6000 196822.7000
360.6000 197370.7000
361.6000 197918.7000
362.6000 198466.7000
363.6000 199014.7000
364.6000 199562.7000
365.6000 200110.7000
366.6000 200658.7000
367.6000 201206.7000
368.6000 201754.7000
369.6000 202302.7000
370.6000 202850.7000
371.6000 203398.7000
372.6000 203946.7000
373.6000 204494.7000
374.6000 205042.7000
375.6000 205590.7000
376.6000 206138.7000
377.6000 206686.7000
378.6000 207234.7000
379.6000 207782.7000
380.6000 208330.7000
381.6000 208878.7000
382.6000 209426.7000
383.6000 209974.7000
384.6000 210522.7000
385.6000 211070.7000
386.6000 211618.7000
387.6000 212166.7000
388.6000 212714.7000
389.6000 213262.7000
390.6000 213810.7000
391.6000 214358.7000
392.6000 214906.7000
393.6000 215454.7000
394.6000 216002.7000
395.6000 216550.7000
396.6000 217098.7000
397.6000 217646.7000
398.6000 218194.7000
399.6000 218742.7000
400.6000 219290.7000
401.6000 219838.7000
402.6000 220386.7000
403.6000 220934.7000
404.6000 221482.7000
405.6000 222030.7000
406.6000 222578.7000
407.6000 223126.7000
408.6000 223674.7000
409.6000 224222.7000
410.6000 224770.7000
411.6000 225318.7000
412.6000 225866.7000
413.6000 226414.7000
414.6000 226962.7000
415.6000 227510.7000
416.6000 228058.7000
417.6000 228606.7000
418.6000 229154.7000
419.6000 229702.7000
420.6000 230250.7000
421.6000 230798.7000
422.6000 231346.7000
423.6000 231894.7000
424.6000 232442.7000
425.6000 232990.8000
426.6000 233539.8000
427.6000 234088.8000
428.6000 234637.8000
429.6000 235186.7000
430.6000 235734.7000
431.6000 236283.0000
432.6000 236833.0000
433.6000 237386.7000
434.6000 237940.7000
435.6000 238494.4000
436.6000 239046.4000
437.6000 239594.7000
438.6000 240142.7000
439.6000 240690.7000
440.6000 241238.7000
441.6000 241786.7000
442.6000 242334.7000
443.6000 242882.7000
444.6000 243430.7000
445.6000 243978.7000
446.6000 244526.7000
447.6000 245074.7000
448.6000 245622.7000
449.6000 246170.7000
450.6000 246718.7000
451.6000 247266.7000
452.6000 247814.7000
453.6000 248362.7000
454.6000 248910.7000
455.6000 249458.7000
456.6000 250006.7000
457.6000 250554.7000
458.6000 251102.7000
459.6000 251650.7000
460.6000 252198.7000
461.6000 252746.7000
462.6000 253294.7000
463.6000 253842.7000
464.6000 254390.7000
