# time totalContactTime
1.1000 1225.0000
2.1000 2450.0000
3.1000 3675.0000
4.1000 4900.0000
5.2000 6247.5000
6.3000 7595.0000
7.4000 8942.5000
8.5000 10290.0000
9.6000 11637.5000
10.7000 12985.0000
11.8000 14332.5000
12.9000 15680.0000
14.0000 17027.5000
15.1000 18375.0000
16.2000 19722.5000
17.2000 20947.5000
18.2000 22172.5000
19.2000 23397.5000
20.2000 24622.5000
21.2000 25847.5000
22.2000 27072.5000
23.2000 28297.5000
24.2000 29522.5000
25.2000 30747.5000
26.2000 31972.5000
27.2000 33197.5000
28.2000 34422.5000
29.2000 35647.5000
30.2000 36872.5000
31.2000 38097.5000
32.2000 39322.5000
33.2000 40547.5000
34.2000 41772.5000
35.2000 42997.5000
36.2000 44222.5000
37.2000 45447.5000
38.2000 46672.5000
39.2000 47897.5000
40.2000 49122.5000
41.2000 50347.5000
42.2000 51572.5000
43.2000 52797.5000
44.2000 54022.5000
45.2000 55247.5000
46.2000 56472.5000
47.2000 57697.5000
48.2000 58922.5000
49.2000 60147.5000
50.2000 61372.5000
51.2000 62597.5000
52.2000 63822.5000
53.2000 65047.5000
54.2000 66272.5000
55.2000 67497.5000
56.2000 68722.5000
57.2000 69947.5000
58.2000 71172.5000
59.2000 72397.5000
60.2000 73622.5000
61.2000 74847.5000
62.2000 76072.5000
63.2000 77297.5000
64.2000 78522.5000
65.3000 79870.0000
66.4000 81217.5000
67.5000 82565.0000
68.6000 83912.5000
69.7000 85260.0000
70.8000 86607.5000
71.9000 87955.0000
73.0000 89302.5000
74.1000 90650.0000
75.2000 91997.5000
76.3000 93345.0000
77.4000 94692.5000
78.5000 96040.0000
79.6000 97387.5000
80.7000 98735.0000
81.8000 100082.5000
82.9000 101430.0000
84.0000 102777.5000
85.1000 104125.0000
86.2000 105472.5000
87.3000 106820.0000
88.4000 108167.5000
89.5000 109515.0000
90.6000 110862.5000
91.7000 112210.0000
92.8000 113557.5000
93.9000 114905.0000
95.0000 116252.5000
96.1000 117600.0000
97.2000 118947.5000
98.3000 120295.0000
99.4000 121642.5000
100.5000 122990.0000
101.6000 124337.5000
102.7000 125685.0000
103.8000 127032.5000
104.9000 128380.0000
106.0000 129727.5000
107.1000 131075.0000
108.2000 132422.5000
109.3000 133770.0000
110.4000 135117.5000
111.5000 136465.0000
112.6000 137812.5000
113.7000 139160.0000
114.8000 140507.5000
115.9000 141855.0000
117.0000 143202.5000
118.1000 144550.0000
119.2000 145897.5000
120.3000 147245.0000
121.4000 148592.5000
122.5000 149940.0000
123.6000 151287.5000
124.7000 152635.0000
125.8000 153982.5000
126.9000 155330.0000
128.0000 156677.5000
129.1000 158025.0000
130.2000 159372.5000
131.3000 160720.0000
132.4000 162067.5000
133.5000 163415.0000
134.6000 164762.5000
135.7000 166110.0000
136.8000 167457.5000
137.9000 168805.0000
139.0000 170152.5000
140.1000 171500.0000
141.2000 172847.5000
142.3000 174195.0000
143.4000 175542.5000
144.5000 176890.0000
145.6000 178237.5000
146.7000 179585.0000
147.8000 180932.5000
148.9000 182280.0000
150.0000 183627.5000
151.1000 184975.0000
152.2000 186322.5000
153.3000 187670.0000
154.4000 189017.5000
155.5000 190365.0000
156.6000 191712.5000
157.7000 193060.0000
158.8000 194407.5000
159.9000 195755.0000
161.0000 197102.5000
162.1000 198450.0000
163.2000 199797.5000
164.3000 201145.0000
165.4000 202492.5000
166.5000 203840.0000
167.6000 205187.5000
168.7000 206535.0000
169.8000 207882.5000
170.9000 209230.0000
172.0000 210577.5000
173.1000 211925.0000
174.2000 213272.5000
175.3000 214620.0000
176.4000 215967.5000
177.5000 217315.0000
178.6000 218662.5000
179.7000 220010.0000
180.8000 221357.5000
181.9000 222705.0000
183.0000 224052.5000
184.1000 225400.0000
185.2000 226747.5000
186.3000 228095.0000
187.4000 229442.5000
188.5000 230790.0000
189.6000 232137.5000
190.7000 233485.0000
191.8000 234832.5000
